Year,Economy,Economy Label,Category,Category Label,Productive Capacities Index,Productive Capacities Index Footnote,Productive Capacities Index Missing value
2000,31,Azerbaijan,60,Information and Communication Technology (ICT),13.0604,,
2000,31,Azerbaijan,40,Institutions,32.7715,,
2000,31,Azerbaijan,80,Private sector,36.0124,At least half of the indicators in the category have been imputed.,
2000,31,Azerbaijan,10,Structural Change,44.2835,,
2000,44,Bahamas,0,Overall index: Productive capacities index,44.2831,,
2000,44,Bahamas,30,Human capital,40.8839,,
2000,44,Bahamas,50,Natural capital,6.4628,,
2000,44,Bahamas,20,Energy,78.6626,At least half of the indicators in the category have been imputed.,
2000,44,Bahamas,70,Transport,70.9348,,
2000,44,Bahamas,60,Information and Communication Technology (ICT),32.4741,,
2000,44,Bahamas,40,Institutions,83.7783,,
2000,44,Bahamas,80,Private sector,59.3176,At least half of the indicators in the category have been imputed.,
2000,44,Bahamas,10,Structural Change,62.1513,,
2000,48,Bahrain,0,Overall index: Productive capacities index,51.3941,,
2000,48,Bahrain,30,Human capital,36.316,,
2000,48,Bahrain,50,Natural capital,46.1582,,
2000,48,Bahrain,20,Energy,84.1635,,
2000,48,Bahrain,70,Transport,72.8192,,
2000,48,Bahrain,60,Information and Communication Technology (ICT),27.7522,,
2000,48,Bahrain,40,Institutions,59.6095,,
2000,48,Bahrain,80,Private sector,57.8367,,
2000,48,Bahrain,10,Structural Change,49.5193,At least half of the indicators in the category have been imputed.,
2000,50,Bangladesh,0,Overall index: Productive capacities index,24.3435,,
2000,50,Bangladesh,30,Human capital,21.6425,,
2000,50,Bangladesh,50,Natural capital,48.0303,,
2000,50,Bangladesh,20,Energy,22.116,,
2000,50,Bangladesh,70,Transport,24.3243,,
2000,50,Bangladesh,60,Information and Communication Technology (ICT),3.4194,,
2000,50,Bangladesh,40,Institutions,37.5046,,
2000,50,Bangladesh,80,Private sector,38.785,,
2000,50,Bangladesh,10,Structural Change,44.3402,,
2000,52,Barbados,0,Overall index: Productive capacities index,54.6625,,
2000,52,Barbados,30,Human capital,47.9963,,
2000,52,Barbados,50,Natural capital,28.6374,,
2000,52,Barbados,20,Energy,69.5132,At least half of the indicators in the category have been imputed.,
2000,52,Barbados,70,Transport,80.1993,At least half of the indicators in the category have been imputed.,
2000,52,Barbados,60,Information and Communication Technology (ICT),37.6323,,
2000,52,Barbados,40,Institutions,85.8411,,
2000,52,Barbados,80,Private sector,56.7335,At least half of the indicators in the category have been imputed.,
2000,52,Barbados,10,Structural Change,56.7596,,
2000,112,Belarus,0,Overall index: Productive capacities index,38.7722,,
2000,112,Belarus,30,Human capital,47.5125,,
2000,112,Belarus,50,Natural capital,43.5336,,
2000,112,Belarus,20,Energy,60.8471,,
2000,112,Belarus,70,Transport,30.9667,,
2000,112,Belarus,60,Information and Communication Technology (ICT),19.0371,,
2000,112,Belarus,40,Institutions,36.316,,
2000,112,Belarus,80,Private sector,33.2321,,
2000,112,Belarus,10,Structural Change,57.0344,,
2000,56,Belgium,0,Overall index: Productive capacities index,59.7705,,
2000,56,Belgium,30,Human capital,68.5551,,
2000,56,Belgium,50,Natural capital,22.0616,,
2000,56,Belgium,20,Energy,80.456,,
2000,56,Belgium,70,Transport,60.6637,,
2000,56,Belgium,60,Information and Communication Technology (ICT),43.0447,,
2000,56,Belgium,40,Institutions,86.2122,,
2000,56,Belgium,80,Private sector,69.5371,At least half of the indicators in the category have been imputed.,
2000,56,Belgium,10,Structural Change,85.5124,,
2000,84,Belize,0,Overall index: Productive capacities index,42.4452,,
2000,84,Belize,30,Human capital,32.5859,,
2000,84,Belize,50,Natural capital,29.9518,,
2000,84,Belize,20,Energy,50.6236,At least half of the indicators in the category have been imputed.,
2000,84,Belize,70,Transport,59.3737,At least half of the indicators in the category have been imputed.,
2000,84,Belize,60,Information and Communication Technology (ICT),25.6999,,
2000,84,Belize,40,Institutions,62.1327,,
2000,84,Belize,80,Private sector,41.7673,At least half of the indicators in the category have been imputed.,
2000,84,Belize,10,Structural Change,53.845,,
2000,204,Benin,0,Overall index: Productive capacities index,19.6106,,
2000,204,Benin,30,Human capital,11.9326,,
2000,204,Benin,50,Natural capital,45.2749,,
2000,204,Benin,20,Energy,8.6194,,
2000,204,Benin,70,Transport,24.4657,,
2000,204,Benin,60,Information and Communication Technology (ICT),3.0018,,
2000,204,Benin,40,Institutions,54.124,,
2000,204,Benin,80,Private sector,37.6073,At least half of the indicators in the category have been imputed.,
2000,204,Benin,10,Structural Change,31.4236,,
2000,60,Bermuda,0,Overall index: Productive capacities index,50.9019,At least half of the indicators in the category have been imputed.,
2000,60,Bermuda,30,Human capital,49.3482,At least half of the indicators in the category have been imputed.,
2000,60,Bermuda,50,Natural capital,4.7511,,
2000,60,Bermuda,20,Energy,84.6312,At least half of the indicators in the category have been imputed.,
2000,60,Bermuda,70,Transport,94.7481,All indicators in the category have been imputed.,
2000,60,Bermuda,60,Information and Communication Technology (ICT),62.0267,,
2000,60,Bermuda,40,Institutions,81.5154,,
2000,60,Bermuda,80,Private sector,88.4834,All indicators in the category have been imputed.,
2000,60,Bermuda,10,Structural Change,53.5821,At least half of the indicators in the category have been imputed.,
2000,64,Bhutan,0,Overall index: Productive capacities index,30.6468,,
2000,64,Bhutan,30,Human capital,25.9523,,
2000,64,Bhutan,50,Natural capital,41.6977,,
2000,64,Bhutan,20,Energy,23.1685,At least half of the indicators in the category have been imputed.,
2000,64,Bhutan,70,Transport,30.6964,,
2000,64,Bhutan,60,Information and Communication Technology (ICT),9.0653,,
2000,64,Bhutan,40,Institutions,56.8097,,
2000,64,Bhutan,80,Private sector,32.0757,,
2000,64,Bhutan,10,Structural Change,61.211,,
2000,68,Bolivia (Plurinational State of),0,Overall index: Productive capacities index,36.4058,,
2000,68,Bolivia (Plurinational State of),30,Human capital,34.6003,,
2000,68,Bolivia (Plurinational State of),50,Natural capital,44.3689,,
2000,68,Bolivia (Plurinational State of),20,Energy,42.5193,,
2000,68,Bolivia (Plurinational State of),70,Transport,38.7416,,
2000,68,Bolivia (Plurinational State of),60,Information and Communication Technology (ICT),14.2193,,
2000,68,Bolivia (Plurinational State of),40,Institutions,50.9055,,
2000,68,Bolivia (Plurinational State of),80,Private sector,34.2229,At least half of the indicators in the category have been imputed.,
2000,68,Bolivia (Plurinational State of),10,Structural Change,49.259,,
2000,70,Bosnia and Herzegovina,0,Overall index: Productive capacities index,39.1174,,
2000,70,Bosnia and Herzegovina,30,Human capital,43.7044,,
2000,70,Bosnia and Herzegovina,50,Natural capital,37.7169,,
2000,70,Bosnia and Herzegovina,20,Energy,50.0638,,
2000,70,Bosnia and Herzegovina,70,Transport,30.0912,,
2000,70,Bosnia and Herzegovina,60,Information and Communication Technology (ICT),18.2955,,
2000,70,Bosnia and Herzegovina,40,Institutions,41.8061,,
2000,70,Bosnia and Herzegovina,80,Private sector,45.25,At least half of the indicators in the category have been imputed.,
2000,70,Bosnia and Herzegovina,10,Structural Change,63.7866,,
2000,72,Botswana,0,Overall index: Productive capacities index,37.1754,,
2000,72,Botswana,30,Human capital,26.4891,,
2000,72,Botswana,50,Natural capital,45.414,,
2000,72,Botswana,20,Energy,35.6672,,
2000,72,Botswana,70,Transport,38.2216,,
2000,72,Botswana,60,Information and Communication Technology (ICT),16.2418,,
2000,72,Botswana,40,Institutions,72.054,,
2000,72,Botswana,80,Private sector,36.8801,At least half of the indicators in the category have been imputed.,
2000,72,Botswana,10,Structural Change,51.5379,,
2000,76,Brazil,0,Overall index: Productive capacities index,42.012,,
2000,76,Brazil,30,Human capital,48.0925,,
2000,76,Brazil,50,Natural capital,34.3743,,
2000,76,Brazil,20,Energy,49.7116,,
2000,76,Brazil,70,Transport,37.6017,,
2000,76,Brazil,60,Information and Communication Technology (ICT),21.7829,,
2000,76,Brazil,40,Institutions,57.5051,,
2000,76,Brazil,80,Private sector,36.4545,,
2000,76,Brazil,10,Structural Change,68.7756,,
2000,96,Brunei Darussalam,0,Overall index: Productive capacities index,50.8308,,
2000,96,Brunei Darussalam,30,Human capital,35.6278,,
2000,96,Brunei Darussalam,50,Natural capital,33.1713,,
2000,96,Brunei Darussalam,20,Energy,92.559,,
2000,96,Brunei Darussalam,70,Transport,71.9355,,
2000,96,Brunei Darussalam,60,Information and Communication Technology (ICT),28.4298,,
2000,96,Brunei Darussalam,40,Institutions,68.0149,,
2000,96,Brunei Darussalam,80,Private sector,60.6181,,
2000,96,Brunei Darussalam,10,Structural Change,48.3192,,
2000,100,Bulgaria,0,Overall index: Productive capacities index,44.6443,,
2000,100,Bulgaria,30,Human capital,46.5078,,
2000,100,Bulgaria,50,Natural capital,40.2597,,
2000,100,Bulgaria,20,Energy,57.7924,,
2000,100,Bulgaria,70,Transport,37.2349,,
2000,100,Bulgaria,60,Information and Communication Technology (ICT),27.0277,,
2000,100,Bulgaria,40,Institutions,58.2268,,
2000,100,Bulgaria,80,Private sector,44.0809,,
2000,100,Bulgaria,10,Structural Change,56.4588,,
2000,854,Burkina Faso,0,Overall index: Productive capacities index,16.0913,,
2000,854,Burkina Faso,30,Human capital,2.9205,,
2000,854,Burkina Faso,50,Natural capital,52.3465,,
2000,854,Burkina Faso,20,Energy,7.2029,At least half of the indicators in the category have been imputed.,
2000,854,Burkina Faso,70,Transport,22.4821,,
2000,854,Burkina Faso,60,Information and Communication Technology (ICT),3.7498,,
2000,854,Burkina Faso,40,Institutions,48.7967,,
2000,854,Burkina Faso,80,Private sector,36.2347,,
2000,854,Burkina Faso,10,Structural Change,27.3854,,
2000,108,Burundi,0,Overall index: Productive capacities index,13.9754,,
2000,108,Burundi,30,Human capital,4.0685,,
2000,108,Burundi,50,Natural capital,64.7765,,
2000,108,Burundi,20,Energy,3.4365,At least half of the indicators in the category have been imputed.,
2000,108,Burundi,70,Transport,36.559,At least half of the indicators in the category have been imputed.,
2000,108,Burundi,60,Information and Communication Technology (ICT),4.4642,,
2000,108,Burundi,40,Institutions,23.8709,,
2000,108,Burundi,80,Private sector,34.3877,At least half of the indicators in the category have been imputed.,
2000,108,Burundi,10,Structural Change,11.9933,,
2000,132,Cabo Verde,0,Overall index: Productive capacities index,43.2374,,
2000,132,Cabo Verde,30,Human capital,32.308,,
2000,132,Cabo Verde,50,Natural capital,45.1173,,
2000,132,Cabo Verde,20,Energy,47.2509,At least half of the indicators in the category have been imputed.,
2000,132,Cabo Verde,70,Transport,57.7233,,
2000,132,Cabo Verde,60,Information and Communication Technology (ICT),18.5739,,
2000,132,Cabo Verde,40,Institutions,68.436,,
2000,132,Cabo Verde,80,Private sector,43.6075,At least half of the indicators in the category have been imputed.,
2000,132,Cabo Verde,10,Structural Change,55.426,,
2000,116,Cambodia,0,Overall index: Productive capacities index,21.9121,,
2000,116,Cambodia,30,Human capital,23.566,,
2000,116,Cambodia,50,Natural capital,45.6485,,
2000,116,Cambodia,20,Energy,15.5042,,
2000,116,Cambodia,70,Transport,22.4352,At least half of the indicators in the category have been imputed.,
2000,116,Cambodia,60,Information and Communication Technology (ICT),5.1231,,
2000,116,Cambodia,40,Institutions,37.8568,,
2000,116,Cambodia,80,Private sector,27.552,At least half of the indicators in the category have been imputed.,
2000,116,Cambodia,10,Structural Change,26.5792,,
2000,120,Cameroon,0,Overall index: Productive capacities index,21.7557,,
2000,120,Cameroon,30,Human capital,13.354,,
2000,120,Cameroon,50,Natural capital,39.8065,,
2000,120,Cameroon,20,Energy,20.0943,,
2000,120,Cameroon,70,Transport,25.8562,,
2000,120,Cameroon,60,Information and Communication Technology (ICT),4.7203,,
2000,120,Cameroon,40,Institutions,33.4736,,
2000,120,Cameroon,80,Private sector,30.4896,At least half of the indicators in the category have been imputed.,
2000,120,Cameroon,10,Structural Change,37.7182,,
2000,124,Canada,0,Overall index: Productive capacities index,63.1474,,
2000,124,Canada,30,Human capital,68.2297,,
2000,124,Canada,50,Natural capital,30.5172,,
2000,124,Canada,20,Energy,70.9615,,
2000,124,Canada,70,Transport,63.2237,,
2000,124,Canada,60,Information and Communication Technology (ICT),50.4234,,
2000,124,Canada,40,Institutions,92.6475,,
2000,124,Canada,80,Private sector,76.6319,,
2000,124,Canada,10,Structural Change,75.604,,
2000,136,Cayman Islands,0,Overall index: Productive capacities index,47.6423,At least half of the indicators in the category have been imputed.,
2000,136,Cayman Islands,30,Human capital,54.9606,All indicators in the category have been imputed.,
2000,136,Cayman Islands,50,Natural capital,2.7099,,
2000,136,Cayman Islands,20,Energy,87.7498,At least half of the indicators in the category have been imputed.,
2000,136,Cayman Islands,70,Transport,94.7157,All indicators in the category have been imputed.,
2000,136,Cayman Islands,60,Information and Communication Technology (ICT),61.3585,At least half of the indicators in the category have been imputed.,
2000,136,Cayman Islands,40,Institutions,86.9523,,
2000,136,Cayman Islands,80,Private sector,93.59,All indicators in the category have been imputed.,
2000,136,Cayman Islands,10,Structural Change,42.9417,At least half of the indicators in the category have been imputed.,
2000,140,Central African Republic,0,Overall index: Productive capacities index,13.2203,,
2000,140,Central African Republic,30,Human capital,5.041,,
2000,140,Central African Republic,50,Natural capital,44.4649,,
2000,140,Central African Republic,20,Energy,8.9057,At least half of the indicators in the category have been imputed.,
2000,140,Central African Republic,70,Transport,27.9031,,
2000,140,Central African Republic,60,Information and Communication Technology (ICT),1.1074,,
2000,140,Central African Republic,40,Institutions,30.0823,,
2000,140,Central African Republic,80,Private sector,28.2931,At least half of the indicators in the category have been imputed.,
2000,140,Central African Republic,10,Structural Change,17.773,At least half of the indicators in the category have been imputed.,
2000,148,Chad,0,Overall index: Productive capacities index,11.8699,,
2000,148,Chad,30,Human capital,7.27,,
2000,148,Chad,50,Natural capital,70.2183,,
2000,148,Chad,20,Energy,5.6045,At least half of the indicators in the category have been imputed.,
2000,148,Chad,70,Transport,13.5562,,
2000,148,Chad,60,Information and Communication Technology (ICT),1.6779,,
2000,148,Chad,40,Institutions,31.2257,,
2000,148,Chad,80,Private sector,23.6517,At least half of the indicators in the category have been imputed.,
2000,148,Chad,10,Structural Change,8.1991,At least half of the indicators in the category have been imputed.,
2000,152,Chile,0,Overall index: Productive capacities index,50.3179,,
2000,152,Chile,30,Human capital,45.8158,,
2000,152,Chile,50,Natural capital,42.5266,,
2000,152,Chile,20,Energy,60.183,,
2000,152,Chile,70,Transport,47.2697,,
2000,152,Chile,60,Information and Communication Technology (ICT),28.4763,,
2000,152,Chile,40,Institutions,80.8713,,
2000,152,Chile,80,Private sector,56.6631,,
2000,152,Chile,10,Structural Change,56.8158,,
2000,156,China,0,Overall index: Productive capacities index,41.4308,,
2000,156,China,30,Human capital,40.7817,,
2000,156,China,50,Natural capital,47.7547,,
2000,156,China,20,Energy,51.2697,,
2000,156,China,70,Transport,28.2748,,
2000,156,China,60,Information and Communication Technology (ICT),14.0534,,
2000,156,China,40,Institutions,45.1424,,
2000,156,China,80,Private sector,59.9584,,
2000,156,China,10,Structural Change,80.8396,,
2000,344,"China, Hong Kong SAR",0,Overall index: Productive capacities index,57.871,,
2000,344,"China, Hong Kong SAR",30,Human capital,51.7604,,
2000,344,"China, Hong Kong SAR",50,Natural capital,20.0183,At least half of the indicators in the category have been imputed.,
2000,344,"China, Hong Kong SAR",20,Energy,81.3368,,
2000,344,"China, Hong Kong SAR",70,Transport,57.0875,,
2000,344,"China, Hong Kong SAR",60,Information and Communication Technology (ICT),50.6285,,
2000,344,"China, Hong Kong SAR",40,Institutions,78.784,,
2000,344,"China, Hong Kong SAR",80,Private sector,82.7651,,
2000,344,"China, Hong Kong SAR",10,Structural Change,79.2052,,
2000,446,"China, Macao SAR",0,Overall index: Productive capacities index,43.2684,,
2000,446,"China, Macao SAR",30,Human capital,46.4392,At least half of the indicators in the category have been imputed.,
2000,446,"China, Macao SAR",50,Natural capital,7.7224,,
2000,446,"China, Macao SAR",20,Energy,77.2399,At least half of the indicators in the category have been imputed.,
2000,446,"China, Macao SAR",70,Transport,71.6986,,
2000,446,"China, Macao SAR",60,Information and Communication Technology (ICT),35.4902,,
2000,446,"China, Macao SAR",40,Institutions,65.042,,
2000,446,"China, Macao SAR",80,Private sector,58.8148,,
2000,446,"China, Macao SAR",10,Structural Change,45.5607,At least half of the indicators in the category have been imputed.,
2000,170,Colombia,0,Overall index: Productive capacities index,37.8322,,
2000,170,Colombia,30,Human capital,38.1646,,
2000,170,Colombia,50,Natural capital,39.2944,,
2000,170,Colombia,20,Energy,48.4274,,
2000,170,Colombia,70,Transport,40.9269,,
2000,170,Colombia,60,Information and Communication Technology (ICT),19.3152,,
2000,170,Colombia,40,Institutions,41.9631,,
2000,170,Colombia,80,Private sector,35.8117,,
2000,170,Colombia,10,Structural Change,48.6413,,
2000,174,Comoros,0,Overall index: Productive capacities index,25.9902,,
2000,174,Comoros,30,Human capital,23.9822,,
2000,174,Comoros,50,Natural capital,45.4114,,
2000,174,Comoros,20,Energy,36.6602,At least half of the indicators in the category have been imputed.,
2000,174,Comoros,70,Transport,64.0311,At least half of the indicators in the category have been imputed.,
2000,174,Comoros,60,Information and Communication Technology (ICT),2.3629,,
2000,174,Comoros,40,Institutions,34.5443,,
2000,174,Comoros,80,Private sector,54.4785,At least half of the indicators in the category have been imputed.,
2000,174,Comoros,10,Structural Change,18.3144,,
2000,178,Congo,0,Overall index: Productive capacities index,19.1766,,
2000,178,Congo,30,Human capital,11.4723,,
2000,178,Congo,50,Natural capital,44.0079,,
2000,178,Congo,20,Energy,16.7485,,
2000,178,Congo,70,Transport,35.2315,,
2000,178,Congo,60,Information and Communication Technology (ICT),1.7397,,
2000,178,Congo,40,Institutions,29.0084,,
2000,178,Congo,80,Private sector,26.18,At least half of the indicators in the category have been imputed.,
2000,178,Congo,10,Structural Change,46.4635,,
2000,180,"Congo, Dem. Rep. of the",0,Overall index: Productive capacities index,13.3462,,
2000,180,"Congo, Dem. Rep. of the",30,Human capital,4.4128,,
2000,180,"Congo, Dem. Rep. of the",50,Natural capital,43.5942,,
2000,180,"Congo, Dem. Rep. of the",20,Energy,14.6481,,
2000,180,"Congo, Dem. Rep. of the",70,Transport,17.8812,At least half of the indicators in the category have been imputed.,
2000,180,"Congo, Dem. Rep. of the",60,Information and Communication Technology (ICT),1,,
2000,180,"Congo, Dem. Rep. of the",40,Institutions,38.455,All indicators in the category have been imputed.,
2000,180,"Congo, Dem. Rep. of the",80,Private sector,18.2733,At least half of the indicators in the category have been imputed.,
2000,180,"Congo, Dem. Rep. of the",10,Structural Change,28.4294,,
2000,188,Costa Rica,0,Overall index: Productive capacities index,44.4362,,
2000,188,Costa Rica,30,Human capital,42.7211,,
2000,188,Costa Rica,50,Natural capital,30.5009,,
2000,188,Costa Rica,20,Energy,59.0818,,
2000,188,Costa Rica,70,Transport,46.7247,,
2000,188,Costa Rica,60,Information and Communication Technology (ICT),25.7655,,
2000,188,Costa Rica,40,Institutions,71.0535,,
2000,188,Costa Rica,80,Private sector,43.5624,,
2000,188,Costa Rica,10,Structural Change,52.9912,,
2000,384,Côte d'Ivoire,0,Overall index: Productive capacities index,23.9355,,
2000,384,Côte d'Ivoire,30,Human capital,12.4724,,
2000,384,Côte d'Ivoire,50,Natural capital,45.8083,,
2000,384,Côte d'Ivoire,20,Energy,29.9138,,
2000,384,Côte d'Ivoire,70,Transport,21.0117,,
2000,384,Côte d'Ivoire,60,Information and Communication Technology (ICT),6.3821,,
2000,384,Côte d'Ivoire,40,Institutions,33.8345,,
2000,384,Côte d'Ivoire,80,Private sector,38.8765,At least half of the indicators in the category have been imputed.,
2000,384,Côte d'Ivoire,10,Structural Change,35.7359,At least half of the indicators in the category have been imputed.,
2000,191,Croatia,0,Overall index: Productive capacities index,45.7685,,
2000,191,Croatia,30,Human capital,52.2798,,
2000,191,Croatia,50,Natural capital,28.1748,,
2000,191,Croatia,20,Energy,56.1786,,
2000,191,Croatia,70,Transport,45.3591,,
2000,191,Croatia,60,Information and Communication Technology (ICT),30.0163,,
2000,191,Croatia,40,Institutions,59.0417,,
2000,191,Croatia,80,Private sector,48.1062,,
2000,191,Croatia,10,Structural Change,60.1712,,
2000,192,Cuba,0,Overall index: Productive capacities index,33.369,,
2000,192,Cuba,30,Human capital,47.0663,,
2000,192,Cuba,50,Natural capital,44.1967,,
2000,192,Cuba,20,Energy,52.9623,,
2000,192,Cuba,70,Transport,39.4342,,
2000,192,Cuba,60,Information and Communication Technology (ICT),5.7328,,
2000,192,Cuba,40,Institutions,41.5453,,
2000,192,Cuba,80,Private sector,34.4155,At least half of the indicators in the category have been imputed.,
2000,192,Cuba,10,Structural Change,43.1678,,
2000,531,Curaçao,0,Overall index: Productive capacities index,,,Not applicable
2000,531,Curaçao,30,Human capital,,,Not applicable
2000,531,Curaçao,50,Natural capital,,,Not applicable
2000,531,Curaçao,20,Energy,,,Not applicable
2000,531,Curaçao,70,Transport,,,Not applicable
2000,531,Curaçao,60,Information and Communication Technology (ICT),,,Not applicable
2000,531,Curaçao,40,Institutions,,,Not applicable
2000,531,Curaçao,80,Private sector,,,Not applicable
2000,531,Curaçao,10,Structural Change,,,Not applicable
2000,196,Cyprus,0,Overall index: Productive capacities index,51.7678,,
2000,196,Cyprus,30,Human capital,43.9032,,
2000,196,Cyprus,50,Natural capital,25.3447,,
2000,196,Cyprus,20,Energy,74.0893,,
2000,196,Cyprus,70,Transport,62.1644,,
2000,196,Cyprus,60,Information and Communication Technology (ICT),38.1757,,
2000,196,Cyprus,40,Institutions,77.8455,,
2000,196,Cyprus,80,Private sector,62.1856,At least half of the indicators in the category have been imputed.,
2000,196,Cyprus,10,Structural Change,54.4609,,
2000,203,Czechia,0,Overall index: Productive capacities index,54.0303,,
2000,203,Czechia,30,Human capital,53.4078,,
2000,203,Czechia,50,Natural capital,35.7212,,
